English,Khmer
Accept,ទទួលយក
Achieve,សម្រេចបាន
Activity,សកម្មភាព
Advice,ដំបូន្មាន
Agree,យល់ព្រម
Almost,ស្ទើរតែ
Amount,ចំនួនទឹកប្រាក់
Announce,ប្រកាស
Appear,លេចឡើង
Argue,ប្រកែក
Arrange,រៀបចំ
Arrive,មកដល់
Article,អត្ថបទ
Avoid,ជៀសវាង
Balance,តុល្យភាព
Basic,មូលដ្ឋាន
Believe,ជឿ
Benefit,អត្ថប្រយោជន៍
Book,សៀវភៅ
Borrow,ខ្ចី
Bright,ភ្លឺ
Cancel,បោះបង់
Certain,ជាក់លាក់
Challenge,ការប្រកួតប្រជែង
Choice,ជម្រើស
Climate,អាកាសធាតុ
Community,សហគមន៍
Compare,ប្រៀបធៀប
Competition,ការប្រកួតប្រជែង
Condition,លក្ខខណ្ឌ
Confident,ជឿជាក់
Connect,ភ្ជាប់
Consider,ពិចារណា
Contact,ទំនាក់ទំនង
Continue,បន្ត
Control,គ្រប់គ្រង
Create,បង្កើត
Customer,អតិថិជន
Damage,ការខូចខាត
Danger,គ្រោះថ្នាក់
Decision,ការសម្រេចចិត្ត
Decrease,ថយចុះ
Delay,ពន្យារពេល
Deliver,ចែកចាយ
Demand,តម្រូវការ
Design,រចនា
Destroy,បំផ្លាញ
Develop,អភិវឌ្ឍ
Direction,ទិសដៅ
Discuss,ពិភាក្សា
Discover,ស្វែងយល់
Distance,ចម្ងាយ
Doubt,សង្ស័យ
Education,ការអប់រំ
Effect,ឥទ្ធិពល
Electricity,អគ្គិសនី
Employment,ការងារ
Encourage,លើកទឹកចិត្ត
Environment,បរិស្ថាន
Event,ព្រឹត្តិការណ៍
Exactly,ពិតប្រាកដ
Except,លើកលែងតែ
Experience,បទពិសោធន៍
Expert,អ្នកជំនាញ
Express,ប្រេស
Familiar,ស្គាល់
Famous,ល្បីល្បាញ
Feature,លក្ខណៈ
Foreign,បរទេស
Future,អនាគត
Government,រដ្ឋាភិបាល
Habit,ទម្លាប់
Healthy,មានសុខភាពល្អ
History,ប្រវត្តិសាស្ត្រ
Imagine,ស្រមៃ
Improve,កែលម្អ
Include,រួមបញ្ចូល
Increase,កើនឡើង
Industry,ឧស្សាហកម្ម
Involve,ចូលរួម
Knowledge,ចំណេះដឹង
Language,ភាសា
Limit,ដែនកំណត់
Local,ក្នុងស្រុក
Lonely,ឯកា
Lucky,សំណាង
Manage,គ្រប់គ្រង
Material,សម្ភារៈ
Mention,រៀបរាប់
Method,វិធីសាស្រ្ត
Natural,ធម្មជាតិ
Necessary,ចាំបាច់
Notice,សេចក្តីជូនដំណឹង
Opinion,មតិ
Opportunity,ឱកាស
Organize,រៀបចំ
Pollution,ការបំពុល
Popular,ពេញនិយម
Positive,វិជ្ជមាន
Private,ឯកជន